date,confirmed,death,recovered,total vaccinated people,percent,confirmed_diff,death_diff,recovered_diff,percent_diff
2020-03-12,3,1,,,,1.0,1.0,,
2020-03-13,24,1,,,,21.0,0.0,,
2020-03-14,36,1,,,,12.0,0.0,,
2020-03-15,45,1,,,,9.0,0.0,,
2020-03-16,76,1,,,,31.0,0.0,,
2020-03-17,90,1,,,,14.0,0.0,,
2020-03-18,159,2,,,,69.0,1.0,,
2020-03-19,314,2,,,,155.0,0.0,,
2020-03-20,471,3,,,,157.0,1.0,,
2020-03-21,625,6,,,,154.0,3.0,,
2020-03-22,1131,12,,,,506.0,6.0,,
2020-03-23,1454,18,,,,323.0,6.0,,
2020-03-24,1942,31,,,,488.0,13.0,,
2020-03-25,2468,51,,,,526.0,20.0,,
2020-03-26,3032,71,,,,564.0,20.0,,
2020-03-27,3848,107,,,,816.0,36.0,,
2020-03-28,4890,130,,,,1042.0,23.0,,
2020-03-29,5753,157,,,,863.0,27.0,,
2020-03-30,6803,213,,,,1050.0,56.0,,
2020-03-31,7951,292,,,,1148.0,79.0,,
2020-04-01,9717,370,,,,1766.0,78.0,,
2020-04-02,11230,453,,,,1513.0,83.0,,
2020-04-03,13221,518,,,,1991.0,65.0,,
2020-04-04,14735,585,,,,1514.0,67.0,,
2020-04-05,16268,675,,,,1533.0,90.0,,
2020-04-06,17820,793,,,,1552.0,118.0,,
2020-04-07,19644,917,,,,1824.0,124.0,,
2020-04-08,21076,1037,,,,1432.0,120.0,,
2020-04-09,22297,1164,,,,1221.0,127.0,,
2020-04-10,23279,1371,,,,982.0,207.0,,
2020-04-11,24500,1487,,,,1221.0,116.0,,
2020-04-12,25183,1592,,,,683.0,105.0,,
2020-04-13,26622,1724,,,,1439.0,132.0,,
2020-04-14,28042,1899,,,,1420.0,175.0,,
2020-04-15,29144,2056,,,,1102.0,157.0,,
2020-04-16,29966,2136,,,,822.0,80.0,,
2020-04-17,31225,2375,,,,1259.0,239.0,,
2020-04-18,32031,2460,,,,806.0,85.0,,
2020-04-19,32688,2551,,,,657.0,91.0,,
2020-04-20,33324,2637,,,,636.0,86.0,,
2020-04-21,34048,2746,,,,724.0,109.0,,
2020-04-22,35404,2987,,,,1356.0,241.0,,
2020-04-23,36845,3157,,,,1441.0,170.0,,
2020-04-24,38330,3267,,,,1485.0,110.0,,
2020-04-25,38789,3339,,,,459.0,72.0,,
2020-04-26,39540,3505,,,,751.0,166.0,,
2020-04-27,40034,3598,,,,494.0,93.0,,
2020-04-28,41166,3766,,,,1132.0,168.0,,
2020-04-29,42379,3869,,,,1213.0,103.0,,
2020-04-30,43478,3991,,,,1099.0,122.0,,
2020-05-01,44524,4069,,,,1046.0,78.0,,
